"year","RMSE","MAE","R2"
1987,0.95,0.48,0.76
1988,2.54,2.08,0.08
1989,0.71,0.48,0.02
1990,2.54,1.37,0.2
1991,6.98,5.79,0.01
1992,64.89,26.18,0.01
1993,2.88,1.34,0
1994,2.19,1.15,0.08
1995,1.41,0.83,0.05
1996,7.03,2.65,0.12
1997,14.79,5.33,0.01
1998,32.05,9.94,0.23
1999,4.35,1.84,0
2000,0.35,0.22,0.05
2001,0.49,0.25,0.07
2002,1.72,0.91,0.04
2003,0.8,0.4,0.14
2004,1.04,0.59,0.49
2005,30.86,9.42,0.05
2006,111.91,56.61,0.11
2007,0.99,0.54,0.08
2008,64.98,45.33,0.03
2009,1.11,0.45,0.02
2010,1.08,0.56,0.02
2011,5.83,2.5,0.04
2012,0.56,0.31,0.23
2013,0.55,0.26,0.33
2014,0.71,0.34,0.02
2015,1.45,0.76,0.01
2016,2.2,0.88,0.3
2017,2.59,1.28,0.61
2018,0.51,0.26,0.04
2019,0.74,0.4,0.06
2020,2.84,1.48,0.61
2021,1.55,0.71,0.09
2022,5.27,2.65,0.01
2023,0.75,0.38,0.24
2024,2.96,1.6,0.78
