"year","RMSE","MAE","R2"
1987,0.96,0.76,0.83
1988,1.26,1,0.64
1989,1.38,1.11,0.7
1990,10.03,4.15,0.05
1991,66.58,41.85,0.14
1992,494.16,198.28,0.08
1993,1.63,1.26,0.39
1994,4.78,3.01,0
1995,3.1,2.13,0.13
1996,241.64,82.9,0.01
1997,12040115.96,3779527.05,0.16
1998,22869.93,10983.4,0.17
1999,551.55,213.53,0
2000,29.2,9.48,0.04
2001,13827.85,4014.78,0.01
2002,2.01,1.5,0.29
2003,1.11,0.89,0.71
2004,1.25,1.05,0.7
2005,9.04,3.36,0.26
2006,32292.07,17444.6,0.01
2007,1826.5,1128.5,0.01
2008,8019.42,4174.02,0.01
2009,1.23,1,0.7
2010,264.24,81.55,0.11
2011,3.1,1.86,0.5
2012,1.19,0.95,0.74
2013,1.2,0.97,0.73
2014,1.48,1.07,0.59
2015,3.95,1.92,0.03
2016,1.5,1.22,0.67
2017,1.19,0.99,0.77
2018,1.1,0.9,0.78
2019,0.98,0.79,0.79
2020,1.14,0.95,0.79
2021,1.31,1.05,0.67
2022,7.77,3.62,0.13
2023,1.32,1.05,0.7
2024,1.2,0.99,0.79
