"year","RMSE","MAE","R2"
1987,0.21,0.16,0.77
1988,0.62,0.51,0.01
1989,0.81,0.66,0.15
1990,3.38,1.91,0.02
1991,44.18,25.76,0.02
1992,350.31,142.25,0.12
1993,5744.99,3160.26,0.03
1994,3.09,1.83,0
1995,15.11,8.49,0.13
1996,488.27,216.44,0
1997,662.24,204.48,0.07
1998,15820.48,6241.22,0
1999,22.04,7.25,0.05
2000,1151.01,355.29,0.07
2001,5.12,2.05,0
2002,1.36,1.04,0.15
2003,0.55,0.45,0
2004,0.71,0.57,0.07
2005,12.03,3.83,0.03
2006,0.69,0.54,0.17
2007,0.62,0.51,0
2008,0.94,0.74,0.01
2009,0.77,0.65,0
2010,36.34,13.23,0.03
2011,4.02,1.81,0.19
2012,0.46,0.37,0.02
2013,0.8,0.61,0
2014,1.57,0.77,0.02
2015,3.75,1.74,0.34
2016,1.05,0.92,0
2017,0.82,0.68,0
2018,0.5,0.43,0.01
2019,0.36,0.29,0.22
2020,0.52,0.43,0.32
2021,0.7,0.59,0
2022,7.52,2.99,0
2023,0.85,0.68,0.1
2024,0.75,0.67,0.04
